Event,Event_Score,rat_PCD_pred,pig_PCD_pred,primate_PCD_pred,infant_PCD_pred
Left_Internal_Capsule_Inflection,1.813182149,19.45201332,57.1052395,62.87061143,79.09774693
Right_Putamen_Globus_Pallidus_Inflection,1.816464856,19.50144011,57.2784739,63.06280296,79.34329493
cortical layer II/III - peak,1.826,19.64593159,57.78489765,63.6246449,80.06111617
cortical layer IV - end,1.839,19.84516089,58.48317025,64.39932983,81.05087014
optic nerve axon number -peak,1.849,20.00018633,59.02651415,65.00213211,81.82102319
Combined_Putamen_and_Globus_Palidus_Inflection,1.928938812,21.29678167,63.57091114,70.04382473,88.26239712
cortical layer II/III -end,1.929,21.29781436,63.57453059,70.04784025,88.26752745
Combined_Internal_Capsule_Inflection,1.931219157,21.33531047,63.70594954,70.19364045,88.45380489
Thalamus_Inflection,1.987652011,22.31733843,67.14782902,74.01216651,93.33243517
cortical axons innervate dLGN,2.005,22.63053003,68.2455246,75.22998345,94.88834405
Left_Putamen_Globus_Pallidus_Inflection,2.042844693,23.33290878,70.70727017,77.96111907,98.37770112
Right_Internal_Capsule_Inflection,2.094366315,24.33287116,74.21200747,81.84938151,103.3454281
Corpus_Callosum_Inflection,2.095154326,24.34856891,74.26702602,81.91042077,103.4234131
adultlike cortical innervation of dLGN,2.103,24.50553692,74.81717837,82.52077656,104.2032167
LGN axons in cortical layer IV,2.117,24.78871204,75.8096701,83.62187716,105.6100063
superficial SC- start of lamination rods - peak,2.124,24.93179322,76.31115092,84.17823528,106.3208213
Lateral_Ventricle_Inflection,2.128084833,25.01575184,76.60541487,84.50470068,106.7379204
rods - peak,2.136,25.17941752,77.17904166,85.14109973,107.5509974
visual cortical axons in SC ,2.212,26.81863456,82.92428289,91.51504556,115.6944865
retinal bipolar cells - peak,2.215,26.88593136,83.16014936,91.77672301,116.0288112
ipsi/contra segregation in LGN and SC,2.298,28.83017369,89.97446429,99.33673181,125.6876395
Right_Caudate_Inflection,2.323857158,29.46958244,92.21550828,101.8230144,128.8641671
 rapid axon loss in optic nerve ends,2.331,29.64914818,92.8448627,102.5212393,129.7562342
Hypothalamus_Inflection,2.344931679,30.00309236,94.08539072,103.897519,131.5145984
Right_Hippocampus_Inflection,2.379473198,30.90221029,97.2366814,107.393657,135.9813388
Left_Cortex_Inflection,2.379989906,30.91589739,97.2846529,107.446878,136.0493352
Left_Hippocampus_Inflection,2.40636176,31.62393848,99.76624425,110.2000311,139.5668223
Combined_Cortex_Inflection,2.418348173,31.9519782,100.9159806,111.4755836,141.1964954
Midbrain_Inflection,2.427603333,32.20797388,101.8132119,112.4709994,142.4682598
Right_Cortex_Inflection,2.446176037,32.72889418,103.6389694,114.4965505,145.056147
Left_Superior_Colliculus_Inflection,2.527348231,35.1226273,112.0286907,123.8043632,156.9480068
eye opening,2.546,35.70065952,114.054618,126.0519887,159.8196211
