,Event,Event_Score,rat_PCD_pred,pig_PCD_pred,infant_PCD_pred
50,inferior colliculus - peak ,1.475,15.13880848,41.98802097,57.67011691
4,inferior olivary nucleus - peak,1.073,11.59067649,29.55228268,40.04330292
26,internal capsule appears,1.305,13.46308159,36.11481752,49.34525011
92,ipsi/contra segregation in LGN and SC,2.298,28.83017369,89.97446429,125.6876395
78,isles of Calleja - peak,1.748,18.50344508,53.78063195,74.38534164
87,LGN axons in cortical layer IV,2.117,24.78871204,75.8096701,105.6100063
79,LGN axons in subplate,1.768,18.78794955,54.77778286,75.7987353
3,locus coeruleus - peak,1.07,11.56919669,29.47699882,39.93659315
5,magnocellular basal forebrain-peak,1.103,11.8090561,30.31767464,41.128194
18,mammillo-thalamic tract appears,1.248,12.96204124,34.35873666,46.85612482
25,medial forebrain bundle appears,1.302,13.435993,36.01987555,49.21067632
15,medial geniculate nucleus - peak,1.233,12.83486681,33.91300694,46.22433323
33,mitral cells-peak ,1.373,14.09940081,38.34503313,52.5064292
30,optic axons at chiasm of optic tract,1.342,13.80394265,37.30949094,51.0386185
55,optic axons invade visual centers,1.542,15.88157344,44.59131495,61.36010922
52,optic axons reach dLGN and SC,1.519,15.62096572,43.67791902,60.06543256
83,optic nerve axon number -peak,1.849,20.00018633,59.02651415,81.82102319
57,parasubiculum - peak ,1.556,16.04316396,45.15766858,62.16287701
11,Parasubiculum appears,2.408810411,31.69063305,100,139.8981552
0,pCC_inflection,2.507698288,34.52521124,109.9348256,153.9800953
1,pHypo_inflection,2.32647405,29.53522033,92.4455605,129.1902505
3,pLCaud_inflection,2.243078588,27.52568263,85.40239382,119.2070403
4,pLCort_inflection,2.427422003,32.20293555,101.7955532,142.4432298
5,pLHippo_inflection,2.413815449,31.82746577,100.4795808,140.5779283
6,pLIC_inflection,2.05339968,23.53359151,71.4106369,99.37467567
7,pLPutGP_inflection,2.020599538,22.91683317,69.24897964,96.31067338
8,pLSupCol_inflection,2.475970977,33.58504715,106.6396735,149.3094411
2,pLV_inflection,2.108857166,24.62352645,75.23071621,104.7893785
9,pMid_inflection,2.362199046,30.44868101,95.64712064,133.7282444
53,pontine nuclei - peak,1.528,15.72222942,44.03283502,60.56850187
7,posterior commisure appears,1.126,11.98097386,30.92022391,41.98226665
10,pRCaud_inflection,2.36119627,30.42259316,95.55568614,133.5986423
11,pRCort_inflection,2.444083141,32.66970857,103.4315316,144.762118
22,preoptic nucleus - peak,1.258,13.04789018,34.65962597,47.28261497
62,presubiculum - peak,1.583,16.36126442,46.27256906,63.74317268
12,pRHippo_inflection,2.409847911,31.71894101,100.0992157,140.0387867
13,pRIC_inflection,2.189042032,26.31026532,81.14251522,113.1689519
14,pRPutGP_inflection,1.609672184,16.68404958,47.40388881,65.34674155
15,pRSupCol_inflection,2.488863671,33.96349755,107.9660926,151.1895502
16,pThal_inflection,2.217467876,26.94144297,83.35471028,116.3045881
20,Purkinje cells - peak ,1.251,12.98770584,34.44868773,46.98362435
17,pWB_inflection,2.4513314,32.87521364,104.1518,145.7830495
16,raphe complex - peak,1.237,12.86859369,34.03121523,46.39188545
32,rapid axon generation/optic nerve-start,1.366,14.0318816,38.10838713,52.17099956
8,red nucleus - peak,1.128,11.99611094,30.97327739,42.05746636
4,Red nucleus starts,1.16430474,12.27621344,31.955,43.44899144
14,reticular nuclei -peak,1.2,12.56170811,32.95562145,44.86730436
10,Retina vascularized up to the ora serrata,2.134224877,25.14259969,77.05,107.3680897
69,retinal amacrine cells - peak,1.678,17.55131716,50.44354818,69.65525215
91,retinal bipolar cells - peak,2.215,26.88593136,83.16014936,116.0288112
76,retinal ganglion cell generation - end,1.725,18.18322252,52.65829378,72.79450355
1,retinal ganglion cell generation-start,1.023,11.24095847,28.32656679,38.30593393
45,retinal ganglion cells-peak,1.439,14.75979456,40.65962677,55.7872084
36,retinal horizontal cells - peak,1.375,14.11877899,38.41295109,52.60269829
89,rods - peak,2.136,25.17941752,77.17904166,107.5509974
49,septal nuclei - peak,1.463,15.01095145,41.53989883,57.03493422
60,stria terminalis appears,1.578,16.30170711,46.0638285,63.44729712
56,subiculum - peak,1.545,15.91600979,44.71200984,61.53118603
47,subplate - end,1.442,14.79086052,40.7685089,55.94154141
13,subplate-peak,1.172,12.33690226,32.16770634,43.75048823
2,subplate-start,1.038,11.34404406,28.68786828,38.81805424
5,Substantia nigra starts,1.32081327,13.60721892,36.62,50.06131195
42,substantia nigra-peak,1.42,14.56519303,39.97757389,54.82044478
58,superficial SC laminae - end ,1.571,16.21882559,45.7733396,63.03554884
6,superficial SC laminae - start,1.126,11.98097386,30.92022391,41.98226665
88,superficial SC- start of lamination rods - peak,2.124,24.93179322,76.31115092,106.3208213
38,superior colliculus - peak,1.404,14.40416163,39.4131799,54.02045465
0,Superior colliuli appear,0.978672826,10.94520797,27.29,36.83667094
28,suprachisamatic nucleus - peak,1.33,13.69200829,36.91717565,50.48253823
73,tufted cells - peak,1.691,17.7231387,51.0457602,70.50884677
6,Ventrally anglioblasts reach ocular equator,1.575262875,16.26922987,45.95,63.28595296
9,vestibular nuclei - peak,1.128,11.99611094,30.97327739,42.05746636
90,visual cortical axons in SC ,2.212,26.81863456,82.92428289,115.6944865
24,vLGN-peak,1.276,13.20459834,35.20886758,48.06112763
34,VP and VB nuclei -peak,1.375,14.11877899,38.41295109,52.60269829
